epoch,accuracy,auc,loss,lr,precision_9,recall_9,val_accuracy,val_auc,val_loss,val_precision_9,val_recall_9
0,0.6241660714149475,0.6255470514297485,109.70736694335938,0.01,0.6241660714149475,0.6241660714149475,0.5968858003616333,0.6446881294250488,2.768033981323242,0.5968858003616333,0.5968858003616333
1,0.7461082339286804,0.7937964797019958,0.5946909785270691,0.01,0.7461082339286804,0.7461082339286804,0.6176470518112183,0.7076124548912048,1.0328547954559326,0.6176470518112183,0.6176470518112183
2,0.7694588303565979,0.8198084831237793,0.524649441242218,0.01,0.7694588303565979,0.7694588303565979,0.7231833934783936,0.7546215653419495,0.7678596377372742,0.7231833934783936,0.7231833934783936
3,0.7727946639060974,0.8273378014564514,0.5159261226654053,0.01,0.7727946639060974,0.7727946639060974,0.7560553550720215,0.8182896971702576,0.5457411408424377,0.7560553550720215,0.7560553550720215
4,0.7776130437850952,0.8372561931610107,0.49959754943847656,0.01,0.7776130437850952,0.7776130437850952,0.8062283992767334,0.8928622007369995,0.44208571314811707,0.8062283992767334,0.8062283992767334
5,0.7787249684333801,0.8552253246307373,0.47143518924713135,0.01,0.7787249684333801,0.7787249684333801,0.7906574606895447,0.8666922450065613,0.45656514167785645,0.7906574606895447,0.7906574606895447
6,0.7868791818618774,0.8575367331504822,0.4726318120956421,0.01,0.7868791818618774,0.7868791818618774,0.8044982552528381,0.8496830463409424,0.5075894594192505,0.8044982552528381,0.8044982552528381
7,0.7924388647079468,0.8672977685928345,0.457126259803772,0.01,0.7924388647079468,0.7924388647079468,0.8010380864143372,0.895595133304596,0.435006707906723,0.8010380864143372,0.8010380864143372
8,0.8054113984107971,0.8946051001548767,0.4040643572807312,0.01,0.8054113984107971,0.8054113984107971,0.7629757523536682,0.8380376696586609,0.48650047183036804,0.7629757523536682,0.7629757523536682
9,0.8139362335205078,0.9012686014175415,0.3895878493785858,0.01,0.8139362335205078,0.8139362335205078,0.8373702168464661,0.9114578366279602,0.38573023676872253,0.8373702168464661,0.8373702168464661
10,0.8295033574104309,0.9181411862373352,0.3609848618507385,0.01,0.8295033574104309,0.8295033574104309,0.4307958483695984,0.5183756351470947,1.7817262411117554,0.4307958483695984,0.4307958483695984
11,0.806523323059082,0.8946881294250488,0.4607072174549103,0.01,0.806523323059082,0.806523323059082,0.7837370038032532,0.8694683909416199,0.4550679922103882,0.7837370038032532,0.7837370038032532
12,0.8380281925201416,0.9102160334587097,0.5097103118896484,0.01,0.8380281925201416,0.8380281925201416,0.8217992782592773,0.8854538798332214,0.4322866201400757,0.8217992782592773,0.8217992782592773
13,0.8458117246627808,0.9307364225387573,0.3408564031124115,0.01,0.8458117246627808,0.8458117246627808,0.8702422380447388,0.9476014971733093,0.32780560851097107,0.8702422380447388,0.8702422380447388
14,0.8365455865859985,0.9298133850097656,0.34155550599098206,0.01,0.8365455865859985,0.8365455865859985,0.8252595067024231,0.8789286017417908,0.4636994004249573,0.8252595067024231,0.8252595067024231
15,0.8502594232559204,0.9392081499099731,0.315662145614624,0.01,0.8502594232559204,0.8502594232559204,0.745674729347229,0.8557218909263611,0.5198343992233276,0.745674729347229,0.745674729347229
16,0.852483332157135,0.9181820750236511,0.39717206358909607,0.01,0.852483332157135,0.852483332157135,0.6816608905792236,0.7335910201072693,1.2281885147094727,0.6816608905792236,0.6816608905792236
17,0.8565604090690613,0.9294794797897339,0.3524388074874878,0.01,0.8565604090690613,0.8565604090690613,0.7698962092399597,0.8239485025405884,0.5479783415794373,0.7698962092399597,0.7698962092399597
18,0.8750926852226257,0.9466283321380615,0.29921039938926697,0.01,0.8750926852226257,0.8750926852226257,0.8702422380447388,0.9219178557395935,0.36289897561073303,0.8702422380447388,0.8702422380447388
19,0.8910303711891174,0.963634729385376,0.24376964569091797,0.01,0.8910303711891174,0.8910303711891174,0.7439446449279785,0.8172690272331238,1.1253266334533691,0.7439446449279785,0.7439446449279785
20,0.8661971688270569,0.9482857584953308,0.29917147755622864,0.01,0.8661971688270569,0.8661971688270569,0.8633217811584473,0.9316175580024719,0.3499434292316437,0.8633217811584473,0.8633217811584473
21,0.8876945972442627,0.9613721370697021,0.2567633092403412,0.01,0.8876945972442627,0.8876945972442627,0.8425605297088623,0.8906142711639404,0.7262844443321228,0.8425605297088623,0.8425605297088623
22,0.8569310307502747,0.9449946880340576,0.315437912940979,0.01,0.8569310307502747,0.8569310307502747,0.6366782188415527,0.73285311460495,2.5270514488220215,0.6366782188415527,0.6366782188415527
23,0.8802816867828369,0.9671792984008789,0.22997942566871643,0.005,0.8802816867828369,0.8802816867828369,0.8339100480079651,0.9108113050460815,0.5491949915885925,0.8339100480079651,0.8339100480079651
24,0.8951075077056885,0.9605283737182617,0.26615098118782043,0.005,0.8951075077056885,0.8951075077056885,0.8823529481887817,0.9519358277320862,0.31311601400375366,0.8823529481887817,0.8823529481887817
25,0.8939955234527588,0.9644973278045654,0.24428896605968475,0.005,0.8939955234527588,0.8939955234527588,0.7958477735519409,0.8751212954521179,0.5200849771499634,0.7958477735519409,0.7958477735519409
26,0.9114158749580383,0.9677850008010864,0.2411365807056427,0.005,0.9114158749580383,0.9114158749580383,0.8615916967391968,0.9462934732437134,0.3695712983608246,0.8615916967391968,0.8615916967391968
27,0.9306893944740295,0.9783046841621399,0.1926177442073822,0.0025,0.9306893944740295,0.9306893944740295,0.9256055355072021,0.9769474267959595,0.2063346654176712,0.9256055355072021,0.9256055355072021
28,0.9418087601661682,0.978873610496521,0.19272637367248535,0.0025,0.9418087601661682,0.9418087601661682,0.9256055355072021,0.9745004773139954,0.22147266566753387,0.9256055355072021,0.9256055355072021
29,0.9369903802871704,0.9809619188308716,0.18586061894893646,0.0025,0.9369903802871704,0.9369903802871704,0.9152249097824097,0.9789528250694275,0.19656813144683838,0.9152249097824097,0.9152249097824097
30,0.935137152671814,0.9806426763534546,0.18174856901168823,0.0025,0.935137152671814,0.935137152671814,0.9152249097824097,0.9704938530921936,0.3235856294631958,0.9152249097824097,0.9152249097824097
31,0.9406968355178833,0.9831886887550354,0.16458666324615479,0.0025,0.9406968355178833,0.9406968355178833,0.8858131766319275,0.9546791315078735,0.3306736350059509,0.8858131766319275,0.8858131766319275
32,0.9284655451774597,0.9840989708900452,0.15936939418315887,0.0025,0.9284655451774597,0.9284655451774597,0.9273356199264526,0.9815616607666016,0.18210679292678833,0.9273356199264526,0.9273356199264526
33,0.9458858370780945,0.9854975342750549,0.15198348462581635,0.0025,0.9458858370780945,0.9458858370780945,0.9307958483695984,0.9810152053833008,0.17557364702224731,0.9307958483695984,0.9307958483695984
34,0.9488509893417358,0.9861541390419006,0.1479148119688034,0.0025,0.9488509893417358,0.9488509893417358,0.8685120940208435,0.9558523893356323,0.3156282305717468,0.8685120940208435,0.8685120940208435
35,0.9395848512649536,0.985956072807312,0.1511845886707306,0.0025,0.9395848512649536,0.9395848512649536,0.9377162456512451,0.9842793345451355,0.15569241344928741,0.9377162456512451,0.9377162456512451
36,0.9414380788803101,0.9853260517120361,0.15703386068344116,0.0025,0.9414380788803101,0.9414380788803101,0.887543261051178,0.9555711150169373,0.3668704628944397,0.887543261051178,0.887543261051178
37,0.9481096863746643,0.9883490800857544,0.13438215851783752,0.0025,0.9481096863746643,0.9481096863746643,0.9238754510879517,0.97922682762146,0.2031707465648651,0.9238754510879517,0.9238754510879517
38,0.9510748982429504,0.9871698021888733,0.14263567328453064,0.0025,0.9510748982429504,0.9510748982429504,0.9186851382255554,0.9832137823104858,0.16476984322071075,0.9186851382255554,0.9186851382255554
39,0.9473684430122375,0.9888761639595032,0.13386301696300507,0.0025,0.9473684430122375,0.9473684430122375,0.9359861612319946,0.975217342376709,0.20529736578464508,0.9359861612319946,0.9359861612319946
40,0.9518161416053772,0.9900020956993103,0.12562432885169983,0.0025,0.9518161416053772,0.9518161416053772,0.7439446449279785,0.8418855667114258,0.7724944353103638,0.7439446449279785,0.7439446449279785
41,0.9303187727928162,0.9849080443382263,0.1605210304260254,0.0025,0.9303187727928162,0.9303187727928162,0.9152249097824097,0.9579851627349854,0.28994834423065186,0.9152249097824097,0.9152249097824097
42,0.9462564587593079,0.9900305867195129,0.12726564705371857,0.0025,0.9462564587593079,0.9462564587593079,0.858131468296051,0.9383388161659241,0.4649279713630676,0.858131468296051,0.858131468296051
43,0.956634521484375,0.9915385246276855,0.1152152344584465,0.0025,0.956634521484375,0.956634521484375,0.9307958483695984,0.9823338389396667,0.1931537240743637,0.9307958483695984,0.9307958483695984
44,0.9536693692207336,0.9915101528167725,0.11771179735660553,0.0025,0.9536693692207336,0.9536693692207336,0.9169549942016602,0.9759581089019775,0.21269145607948303,0.9169549942016602,0.9169549942016602
45,0.9503335952758789,0.9901869893074036,0.12417718768119812,0.0025,0.9503335952758789,0.9503335952758789,0.9359861612319946,0.9831584095954895,0.1718486249446869,0.9359861612319946,0.9359861612319946
46,0.9588584303855896,0.991866409778595,0.11698891222476959,0.0025,0.9588584303855896,0.9588584303855896,0.7681660652160645,0.8794704675674438,0.6667011380195618,0.7681660652160645,0.7681660652160645
