epoch,accuracy,auc,loss,lr,precision_10,recall_10,val_accuracy,val_auc,val_loss,val_precision_10,val_recall_10
0,0.6167531609535217,0.6350924968719482,94.56004333496094,0.01,0.6167531609535217,0.6167531609535217,0.5968858003616333,0.5968858003616333,202.35382080078125,0.5968858003616333,0.5968858003616333
1,0.7105262875556946,0.758150041103363,0.772000789642334,0.01,0.7105262875556946,0.7105262875556946,0.6072664260864258,0.7055501937866211,0.9606518745422363,0.6072664260864258,0.6072664260864258
2,0.7498146891593933,0.8067994713783264,0.5436064004898071,0.01,0.7498146891593933,0.7498146891593933,0.724913477897644,0.7525681853294373,0.7154439091682434,0.724913477897644,0.724913477897644
3,0.7642698287963867,0.823860228061676,0.515830397605896,0.01,0.7642698287963867,0.7642698287963867,0.742214560508728,0.7815070748329163,0.5609651207923889,0.742214560508728,0.742214560508728
4,0.7690882086753845,0.8310873508453369,0.5062209963798523,0.01,0.7690882086753845,0.7690882086753845,0.745674729347229,0.7899001836776733,0.5692675709724426,0.745674729347229,0.745674729347229
5,0.770941436290741,0.8397801518440247,0.4973962604999542,0.01,0.770941436290741,0.770941436290741,0.7941176295280457,0.8773902654647827,0.45885664224624634,0.7941176295280457,0.7941176295280457
6,0.7813194990158081,0.8445937037467957,0.4865575134754181,0.01,0.7813194990158081,0.7813194990158081,0.8131487965583801,0.8902057409286499,0.43848177790641785,0.8131487965583801,0.8131487965583801
7,0.7931801080703735,0.866727888584137,0.45484408736228943,0.01,0.7931801080703735,0.7931801080703735,0.8166090250015259,0.8856305480003357,0.43793579936027527,0.8166090250015259,0.8166090250015259
8,0.7909562587738037,0.8574132323265076,0.47728896141052246,0.01,0.7909562587738037,0.7909562587738037,0.7006920576095581,0.8228080868721008,0.6420906782150269,0.7006920576095581,0.7006920576095581
9,0.7842846512794495,0.8594247698783875,0.4661830961704254,0.01,0.7842846512794495,0.7842846512794495,0.8391003608703613,0.9210872650146484,0.3775642514228821,0.8391003608703613,0.8391003608703613
10,0.8239436745643616,0.9053800702095032,0.3888227343559265,0.01,0.8239436745643616,0.8239436745643616,0.7145328521728516,0.830578625202179,0.5110489726066589,0.7145328521728516,0.7145328521728516
11,0.8495181798934937,0.9286725521087646,0.34070533514022827,0.01,0.8495181798934937,0.8495181798934937,0.8615916967391968,0.9562355279922485,0.2715809643268585,0.8615916967391968,0.8615916967391968
