epoch,accuracy,auc,loss,lr,precision_11,recall_11,val_accuracy,val_auc,val_loss,val_precision_11,val_recall_11
0,0.650111198425293,0.6619425415992737,76.49287414550781,0.01,0.650111198425293,0.650111198425293,0.5968858003616333,0.5968858003616333,82.7117919921875,0.5968858003616333,0.5968858003616333
1,0.7357301712036133,0.7635610699653625,1.275373935699463,0.01,0.7357301712036133,0.7357301712036133,0.6678200960159302,0.7240843772888184,1.7335610389709473,0.6678200960159302,0.6678200960159302
2,0.755744993686676,0.8295373320579529,0.5957396626472473,0.01,0.755744993686676,0.755744993686676,0.6972318291664124,0.7978532910346985,0.790920615196228,0.6972318291664124,0.6972318291664124
3,0.8335804343223572,0.8976582884788513,0.48340749740600586,0.01,0.8335804343223572,0.8335804343223572,0.858131468296051,0.9291630983352661,0.35369372367858887,0.858131468296051,0.858131468296051
4,0.8795403838157654,0.9452617764472961,0.30079197883605957,0.01,0.8795403838157654,0.8795403838157654,0.9048442840576172,0.9660699963569641,0.2362457811832428,0.9048442840576172,0.9048442840576172
5,0.9036323428153992,0.9617548584938049,0.25377941131591797,0.01,0.9036323428153992,0.9036323428153992,0.7871972322463989,0.8529561758041382,1.2843023538589478,0.7871972322463989,0.7871972322463989
6,0.8873239159584045,0.9559037089347839,0.27205246686935425,0.01,0.8873239159584045,0.8873239159584045,0.38235294818878174,0.5438976287841797,1.292829990386963,0.38235294818878174,0.38235294818878174
7,0.9151223301887512,0.9700409173965454,0.22137992084026337,0.01,0.9151223301887512,0.9151223301887512,0.8442906737327576,0.944621741771698,0.3073376715183258,0.8442906737327576,0.8442906737327576
8,0.9210526347160339,0.9721814393997192,0.21216021478176117,0.01,0.9210526347160339,0.9210526347160339,0.9238754510879517,0.9817560911178589,0.18675118684768677,0.9238754510879517,0.9238754510879517
9,0.9240177869796753,0.9726660847663879,0.21193017065525055,0.01,0.9240177869796753,0.9240177869796753,0.6470588445663452,0.7599047422409058,2.5447988510131836,0.6470588445663452,0.6470588445663452
